country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1987,3,short,4,S004,55511.45,310.58,167.86,127.75,101.5,168.69,246.62,391.14,638.8,857.41,954.2,1280.2,1857.53,2957.13,4615.13,6282.81,7549,8296.59,7739.72,10968.79,5995.09,4972.9,3536.64,1435.91,1193.99,241.96
USA,1987,3,short,4,S005,22539.85,16.66,34.82,25.92,24.79,75.82,177.9,443.65,900.57,1106.7,844.5,755.37,786.08,868.44,953.68,1028.55,1268.29,1899.33,3298.1,8030.66,3658.13,4374.28,2900.62,1474.15,1235.32,238.78
USA,1987,3,short,4,S006,42378.22,720.83,570.29,261.92,235.47,413.23,426.16,514.86,562.83,707.65,706.29,833.12,1079.61,1584.6,2522.81,3554.04,5006.29,6825.06,6857.97,8995.2,5206.63,3787.1,2763.52,1023,885.36,137.33
USA,1987,3,short,4,S007,758376.89,642.7,292.77,121.95,150.51,359.59,668.74,1259.84,2403.6,4378.66,7917.28,12314.37,20242.79,33953.58,55481.35,78071.89,99048.36,116559.98,121096.74,203412.19,103430.15,99993.37,68214.49,31783.52,26272.33,5512.8
USA,1987,3,short,4,S008,156724.16,85.18,53.08,30.75,38.67,69.14,167.26,354.98,593.25,954.95,1431.93,1861.41,2807.08,4321,7495.01,11400.43,17582.61,24743.17,29964.46,52769.82,27350.17,25420.24,17830.37,7588.91,6468.63,1118.84
USA,1987,3,short,4,S009,49811.39,38.2,8.86,10.35,13.72,21.6,69.91,109.97,168.45,273.22,348.28,471.61,784.53,1422.57,2937.75,4593.96,6282.53,7570.96,8130.08,16554.84,7693.07,8865,5722.3,3144.31,2501.13,644.23
USA,1987,3,short,4,S010,49609.56,595.08,222.56,61.96,36.43,86.57,122.96,215.1,359.18,437.97,436.89,513.22,667.56,987.3,1741.84,2683.92,4080.96,6200.89,9134.29,21024.86,9699.81,11329.83,7471.88,3859.72,3134.67,725.81
USA,1987,3,short,4,S011,113212.22,431.2,188.49,79.61,133.61,177.79,228.15,316.27,439.38,588.09,806.78,1143.73,2210.64,4558.91,9333.25,14279.13,19337.03,21549.3,17563.38,19847.49,11768.83,8075.44,5821.9,2252.9,1906.38,346.38
USA,1987,3,short,4,S012,76239.1,413.77,136.04,62.58,32.93,85.33,213.24,535.09,1376.51,2240.21,2820.35,3201.52,4136.05,5648.75,7180.27,8256.99,8749.86,9366.96,8619.39,13163.25,7081.97,6080.7,4344.4,1735.79,1470.81,264.76
USA,1987,3,short,4,S013,12819.17,16.38,17.82,8.78,26.3,56.45,106.61,159.78,170.34,223.42,269.93,277.57,348.63,483.48,803.66,1237.19,1552.39,1867.11,1916.9,3276.43,1666.65,1609.9,1102.62,507.33,421.41,85.92
USA,1987,3,short,4,S014,41840.39,263.83,35.11,20.16,15.35,57.52,143.43,202.16,330.34,374.98,351.41,485.34,724.67,1181.23,2112.86,3304.96,4751.29,6452.03,7547.7,13486,6997.93,6488.63,4559.22,1929.36,1610.1,319.24
USA,1987,3,short,4,S015,37258.62,32531.41,1066.76,289.25,188.87,259.94,253.03,240.6,248.12,247.95,183.07,184.77,196.59,242.22,197.53,225.02,207.18,213.81,146.84,135.67,76.43,59.22,44.58,14.64,10.22,4.43
USA,1987,3,short,4,S016,153742.87,1308.66,3486.74,2293.59,2753.44,12661.8,17473.99,17067.3,14908.14,12168.15,8913.85,6939.19,6078.18,6423.89,6647,6521.48,6596.16,6868.82,6246.92,8385.58,4624.4,3760.81,2684.84,1075.76,908.44,167.28
USA,1988,1,short,4,S000,1125540,22017.9,4229.15,2579.16,2912.01,11705.49,16872.44,19684.34,23364.26,25461.55,27023.03,31615.25,42335.58,65215.08,100199.89,131960.23,152000.16,158692.06,136083.99,151588.42,90429.34,61159.08,45017.86,16141.22,13849.72,2291.51
USA,1988,1,short,4,S001,33401.62,416.8,238.3,72.72,67.57,101.52,608.47,2369.52,4056.02,4215.16,2968.1,1983.52,1640.5,1559.94,1623.62,1934.26,2327.72,2506.53,2148.2,2563.15,1512.5,1050.7,755.29,295.48,251.86,43.64
USA,1988,1,short,4,S002,267705.08,78.86,343.48,392.09,325.65,524.97,670.21,1050.53,1672.73,2665.47,4628.94,7502.06,12670.65,21533.85,34059.48,42820.91,45072.49,40786.58,28676.98,22229.15,15032.25,7192.19,5730.01,1460.3,1317.45,142.27
USA,1988,1,short,4,S003,3709.58,72.99,54.91,29.49,17.65,38.59,68.35,102.68,167.35,177.51,146.29,148.84,146.29,189.43,238,314.59,416.66,460.64,384.65,534.67,301.37,233.35,165.63,67.75,58.2,9.56
USA,1988,1,short,4,S004,24933.97,176.01,97.48,57.83,46.41,79.26,121.77,221.46,403.58,560.04,671.99,817.5,1079.45,1548.71,2385.79,3166.16,3421.64,3601.62,3030.07,3447.18,2044.21,1403,1017.8,385.27,333.26,51.98
USA,1988,1,short,4,S005,12129.57,5.09,20.61,16.13,12.46,52.15,140.03,287.62,645.1,897.72,744.59,658.63,590.59,710.46,724.5,750.42,824.72,1024.3,1513.1,2511.35,1377.71,1133.95,806.74,327.34,289.92,37.33
USA,1988,1,short,4,S006,21316.68,395.22,314.68,132.2,153.3,276.67,269,292,364.58,410.14,449.95,517.11,590.13,882.83,1347.46,1956.64,2721.28,3584.95,3385.71,3272.84,2164.75,1107.52,871.97,235.31,214.53,20.67
USA,1988,1,short,4,S007,383301.41,339.86,160.45,62.83,103.18,243.38,423.68,779.57,1689.17,3276.2,5843.95,9258.45,14085.64,23249.43,36353.07,49202.83,57875.32,61183.21,54483.96,64687.23,37404.69,27285.69,19724.86,7562.38,6398.97,1164.22
USA,1988,1,short,4,S008,63419.97,48.84,28.83,11.46,19.29,42.19,96.07,170.85,341.49,510.28,798.87,1088.26,1405.19,2315.88,4053.45,6134.58,8712.15,11376.98,11616.51,14648.8,8606.81,6042.34,4487.4,1554.77,1348.08,206.56
USA,1988,1,short,4,S009,24491.49,16.71,3.06,1.49,7.11,15.05,32.58,56.69,123.27,183.36,230.73,298.71,510.14,940.49,1930.9,2987.13,3862.99,4204.81,3889.98,5196.3,2912.87,2283.93,1596.22,688.07,596.23,91.79
USA,1988,1,short,4,S010,26224.37,369.68,107.43,35.39,30.21,43.36,71.85,130,260.15,324.65,335.76,390.13,444.65,653.24,1125.21,1799.76,2592.01,3823.12,5050.75,8636.99,4520.3,4118.37,2888.12,1230.87,1030.14,200.96
USA,1988,1,short,4,S011,68062.7,244.05,102.42,54.9,62.82,96.32,138.04,185.03,251.29,324.82,478.29,718.38,1281.15,2692.91,5663.35,9172.94,12190.14,13527.57,10810.95,10067.32,6440.73,3625.43,2793.48,831.41,738.17,93.01
USA,1988,1,short,4,S012,40457.24,232.74,68.91,28.83,30.19,46.9,103.42,317.32,871.62,1691.43,2119.99,2377.54,2747.88,3551.45,4587.26,4863.89,4736.79,4455.74,3568.43,4056.9,2476.84,1579.91,1174.55,405.31,344.22,61.12
USA,1988,1,short,4,S013,4658.57,13.13,15.4,3.65,11.39,15.25,33.88,50.73,82.25,94.16,97.6,110.78,158.46,197.83,329.27,480.63,651.1,714.71,677.65,920.72,529.35,391.42,282.84,108.6,90.8,17.82
USA,1988,1,short,4,S014,18959.54,141.04,16.13,5.44,8.85,24.67,40.67,93.47,150.48,212.95,256.58,292.64,422.9,606.24,1187.56,1771.84,2257.82,3217.81,3275.42,4977.03,2779.01,2198.53,1561.98,636.79,538.28,98.58
USA,1988,1,short,4,S015,21302.58,18740.02,596.59,178.03,131.05,153.52,129.61,134.69,136.96,154.52,107.74,92.36,106.93,120.13,105,108.52,95.25,106.07,60.2,45.38,29.7,15.68,10.85,4.83,3.94,0.9
USA,1988,1,short,4,S016,111465.63,726.87,2060.46,1496.67,1884.87,9951.69,13924.82,13442.18,12148.23,9763.14,7143.67,5360.33,4455.05,4462.25,4485.97,4495.11,4242.08,4117.42,3511.42,3793.41,2296.25,1497.07,1150.12,346.75,295.67,51.09
USA,1988,2,short,4,S000,1042459,16912.15,3211.17,1784.35,1662.27,4347.28,5297.42,7163.1,9002.63,11188.54,13841.53,18090.87,25474.32,40174.77,64220.21,89583.89,115084.79,143935.31,163295.02,308189.39,152080.45,156108.94,104802.05,51306.89,42387.63,8919.26
USA,1988,2,short,4,S001,21172.67,336.53,198.85,85.01,35.52,89.6,217.29,490.85,812.56,735.76,494.27,435.2,545.46,778.25,1055.98,1472.07,1914.74,2623.92,3053.31,5797.51,2865.8,2931.69,2031.37,899.92,761.28,138.42
USA,1988,2,short,4,S002,237013.35,80.42,316.64,271.46,253.52,355.78,494.82,914.82,1902.34,3558.68,5469.36,8045.35,11691.07,17913.24,26618.3,32583.9,35170.42,33580.57,27802.52,29990.15,18276.8,11699.56,8702.38,2991.78,2598.29,391.95
USA,1988,2,short,4,S003,4123.78,48.49,46.67,17.46,27.49,36.62,52.11,70.23,78.19,124.51,96.1,110.51,118.97,177.3,223.39,304.36,347.05,507.02,595.1,1142.2,598.31,543.75,369.12,174.61,144.6,30
USA,1988,2,short,4,S004,33617.36,155.21,101.06,93.95,62.52,80.51,111.98,205.51,227.7,370.25,439.89,586.88,969.89,1496.25,2457.43,3440.1,4249,5034.57,5074.43,8460.25,4449.68,4009.48,2743.2,1265.95,1048.43,217.49
USA,1988,2,short,4,S005,12313.3,1.97,10.98,10.6,10.49,26.82,43.52,137.57,223.48,274.75,185.72,194.78,191.76,214.98,266.2,362.19,515.46,1055.35,2170.34,6416.34,2752.05,3665.93,2321.9,1344.91,1099.45,245.61
USA,1988,2,short,4,S006,22919.61,315.64,250.22,124.61,110.9,107.51,121.51,184.51,225.2,277.77,295.74,383.77,418.44,708.84,1121.7,1623.81,2361.78,3450.94,4131.91,6704.81,3601.32,3102.33,2181.66,920.04,798.35,121.22
USA,1988,2,short,4,S007,379738.98,275.45,155.18,56.03,55.11,123.32,252.38,458.32,674.52,1138.32,1894.63,3080.96,5195.32,9611.11,17642.05,27969.74,40104.55,56328.7,69616.62,145106.66,69012.92,76104.02,50160.61,25949.33,21276.98,4674.31
USA,1988,2,short,4,S008,94790.96,42.02,25.16,21.94,18.18,32.16,87.39,168.19,272.2,427.17,666.33,926.44,1206.33,1883.75,3293.21,5512.65,8600.24,13595.09,18792.96,39219.55,19373.46,19846.01,13632.91,6211.14,5271.76,937.67
USA,1988,2,short,4,S009,25062.1,10.81,1.69,2.36,2.34,14.36,22.75,52.68,49.37,84.13,113.19,174.68,255.36,420.38,867.94,1540.38,2264.2,3228.91,4375.04,11581.52,4971.12,6613.35,4089.56,2526.02,1990.46,536.73
USA,1988,2,short,4,S010,29735.47,233.27,97.05,29.42,20.94,33.61,61.32,89.39,156.33,171.3,173.59,193.01,243.56,409.71,677.01,1073.76,1766.04,3048.69,5441.36,15816.12,6717.81,9102.61,5780.57,3324.15,2676.76,648.24
USA,1988,2,short,4,S011,51295.53,188.85,81.51,32.41,58.94,64.19,104.09,155.31,193.61,242.83,357.83,576.36,989.55,1994.04,3794.03,5872.6,8066.48,9265.73,8080.8,11176.39,5935.97,5238.76,3652.33,1585.57,1320.1,265.35
USA,1988,2,short,4,S012,36733.64,172.82,51.8,22.48,19.62,37.88,81.91,241.6,398.17,645.79,874.39,1053.94,1326.87,1872.2,2737.85,3335.04,3979.83,4874.88,5325.82,9680.74,4929.11,4751.03,3349.69,1400.32,1166.75,233.45
USA,1988,2,short,4,S013,8737.46,7.1,11.68,8.53,16.56,30.67,80.3,123.71,138.66,141.2,178.53,187.96,238.7,332.77,493.86,665.29,938.97,1152.66,1370.93,2619.37,1295.86,1323.5,869.63,453.98,364.34,89.77
USA,1988,2,short,4,S014,23714.64,116.28,17.75,8.53,9.23,44.75,115.73,138.71,185.66,179.36,184.78,253.16,325.06,542.67,966.88,1555.8,2262.09,3304.87,4370.14,9133.2,4496.97,4636.26,3177.28,1458.57,1204.01,254.57
USA,1988,2,short,4,S015,16631.36,14325.65,459.99,129.25,99.34,109.9,106.41,127.21,107.35,96.86,97.31,77.99,90.28,99.55,129.51,117.21,138.4,106.42,106.6,106.1,57.43,48.65,33.79,14.85,11.29,3.58
USA,1988,2,short,4,S016,44858.79,601.64,1384.95,870.29,861.56,3159.6,3343.92,3604.49,3357.27,2719.85,2319.87,1809.9,1667.72,1719.72,1874.87,2154.99,2405.54,2776.98,2987.13,5238.49,2745.86,2492,1706.05,785.74,654.77,130.9
USA,1988,3,short,4,S000,2167999,38930.05,7440.32,4363.51,4574.28,16052.77,22169.86,26847.44,32366.89,36650.09,40864.56,49706.12,67809.9,105389.85,164420.1,221544.11,267084.96,302627.37,299379,459777.81,242509.79,217268.02,149819.91,67448.11,56237.35,11210.76
USA,1988,3,short,4,S001,54574.29,753.33,437.15,157.73,103.09,191.12,825.76,2860.37,4868.58,4950.91,3462.36,2418.72,2185.95,2338.19,2679.6,3406.33,4242.47,5130.45,5201.51,8360.66,4378.29,3982.39,2786.66,1195.4,1013.14,182.05
USA,1988,3,short,4,S002,504718.43,159.28,660.11,663.55,579.17,880.75,1165.03,1965.35,3575.07,6224.15,10098.31,15547.42,24361.72,39447.09,60677.78,75404.82,80242.9,74367.15,56479.49,52219.3,33309.05,18891.75,14432.39,4452.08,3915.74,534.22
USA,1988,3,short,4,S003,7833.36,121.48,101.58,46.95,45.14,75.22,120.46,172.91,245.54,302.02,242.39,259.35,265.25,366.73,461.39,618.96,763.71,967.66,979.75,1676.88,899.68,777.1,534.74,242.36,202.8,39.56
USA,1988,3,short,4,S004,58551.33,331.22,198.54,151.78,108.93,159.76,233.74,426.97,631.28,930.3,1111.88,1404.38,2049.34,3044.97,4843.22,6606.27,7670.64,8636.19,8104.51,11907.42,6493.88,5412.48,3761,1651.22,1381.69,269.48
USA,1988,3,short,4,S005,24442.88,7.06,31.59,26.74,22.96,78.96,183.55,425.19,868.58,1172.47,930.31,853.41,782.36,925.44,990.7,1112.61,1340.17,2079.64,3683.45,8927.68,4129.77,4799.88,3128.64,1672.25,1389.37,282.94
USA,1988,3,short,4,S006,44236.29,710.86,564.9,256.82,264.19,384.18,390.51,476.51,589.78,687.91,745.69,900.88,1008.57,1591.67,2469.16,3580.45,5083.06,7035.9,7517.62,9977.64,5766.07,4209.85,3053.63,1155.35,1012.88,141.89
USA,1988,3,short,4,S007,763040.39,615.31,315.63,118.87,158.29,366.7,676.05,1237.89,2363.7,4414.52,7738.59,12339.41,19280.96,32860.54,53995.12,77172.56,97979.87,117511.9,124100.57,209793.89,106417.61,103389.71,69885.48,33511.72,27675.96,5838.53
USA,1988,3,short,4,S008,158210.92,90.86,53.99,33.4,37.47,74.35,183.46,339.04,613.69,937.44,1465.2,2014.7,2611.52,4199.63,7346.66,11647.23,17312.4,24972.07,30409.47,53868.35,27980.26,25888.36,18120.31,7765.91,6619.84,1144.24
USA,1988,3,short,4,S009,49553.59,27.52,4.75,3.85,9.45,29.41,55.33,109.37,172.64,267.48,343.93,473.39,765.5,1360.87,2798.84,4527.5,6127.2,7433.72,8265.02,16777.82,7883.99,8897.28,5685.79,3214.09,2586.69,628.52
USA,1988,3,short,4,S010,55959.84,602.95,204.47,64.82,51.15,76.97,133.18,219.39,416.48,495.95,509.35,583.14,688.2,1062.96,1802.22,2873.52,4358.05,6871.81,10492.12,24453.11,11238.11,13220.99,8668.69,4555.02,3706.91,849.2
USA,1988,3,short,4,S011,119358.23,432.9,183.94,87.31,121.76,160.51,242.13,340.34,444.9,567.66,836.12,1294.74,2270.69,4686.94,9457.38,15045.53,20256.62,22793.3,18891.75,21243.71,12376.7,8864.18,6445.81,2416.98,2058.27,358.36
USA,1988,3,short,4,S012,77190.88,405.57,120.71,51.31,49.81,84.78,185.33,558.92,1269.8,2337.22,2994.38,3431.48,4074.75,5423.66,7325.11,8198.93,8716.62,9330.62,8894.25,13737.64,7405.94,6330.94,4524.24,1805.63,1510.97,294.57
USA,1988,3,short,4,S013,13396.03,20.23,27.08,12.18,27.95,45.92,114.18,174.44,220.9,235.36,276.13,298.74,397.15,530.6,823.13,1145.92,1590.07,1867.38,2048.59,3540.09,1825.21,1714.92,1152.48,562.59,455.15,107.59
USA,1988,3,short,4,S014,42674.18,257.32,33.89,13.97,18.08,69.41,156.4,232.18,336.14,392.32,441.35,545.8,747.96,1148.91,2154.43,3327.64,4519.91,6522.68,7645.56,14110.23,7275.99,6834.79,4739.26,2095.36,1742.29,353.15
USA,1988,3,short,4,S015,37933.94,33065.68,1056.58,307.28,230.4,263.42,236.01,261.91,244.31,251.39,205.05,170.35,197.2,219.68,234.51,225.73,233.65,212.49,166.81,151.48,87.12,64.33,44.64,19.68,15.23,4.47
USA,1988,3,short,4,S016,156324.41,1328.51,3445.41,2366.96,2746.44,13111.29,17268.73,17046.66,15505.5,12482.99,9463.54,7170.23,6122.77,6181.98,6360.84,6650.1,6647.62,6894.4,6498.55,9031.9,5042.1,3989.07,2856.17,1132.49,950.44,182
USA,1989,1,short,4,S000,1114190,22371.74,4118.61,2514.76,2918.78,11279,15926.55,19962.13,24255.35,26772.89,28610.76,32737.4,42122.85,63001.22,96650.65,129873.65,148586.26,157118.83,135604.29,149764.28,90316.98,59447.3,43252.68,16194.62,13803.05,2391.58
USA,1989,1,short,4,S001,38136.74,457.48,229.86,84.97,50.67,119.15,675.37,2897.76,5177.78,5561.2,4065.68,2662.23,1869.68,1681.06,1616.45,1901.59,2119.01,2380.3,2041.51,2545.01,1488.36,1056.82,742.09,314.83,253.36,61.6
USA,1989,1,short,4,S002,272303.03,84.81,337.23,373.41,340.87,477.5,659.71,1063.11,1680.68,2721.59,4595.35,7768.79,12538.72,21059.73,33712.49,43506.36,46288.76,41923.65,30041.18,23129.1,15793.98,7328.29,5796.8,1529.77,1365.26,163.97
USA,1989,1,short,4,S003,3834.29,79.97,72.11,19.11,23.6,47.58,67.74,100.11,182.8,208.98,168.62,158.31,140.87,193.73,215.35,325.51,385.1,433.13,451.27,560.41,304.19,256.34,195.16,61.15,51.96,9.19
USA,1989,1,short,4,S004,27725.54,172.16,81.61,78.37,84.98,89.33,136.87,262.87,402.43,540.07,743.26,957.17,1161.96,1780.02,2590.68,3520.75,4011.85,4129.44,3356.03,3625.72,2216.94,1408.67,1038.31,370.31,308.58,61.79
USA,1989,1,short,4,S005,11705.85,3.16,19.79,17.21,17.08,46.29,101.12,247.5,566.57,805.77,674.68,646.78,624.23,645.86,707.99,733.52,798.3,1012.46,1498.3,2539.22,1378.68,1161.1,821.12,340.06,286.9,53.19
USA,1989,1,short,4,S006,21553.83,424.15,329.91,127.68,151.31,279.55,288.46,301.24,367.2,403.62,469.36,462.79,559.75,814.79,1288.59,1969.29,2698.76,3663.18,3486.88,3467.32,2309.28,1157.24,894.15,262.89,234.97,27.83
USA,1989,1,short,4,S007,368036.6,315.25,150.22,60.1,75.02,197.44,376.58,757.86,1656.79,3101.08,5859.19,9332.12,13732.9,21725.19,34194.27,47128.85,54186.5,59118,53292.27,62776.95,36954.26,25826.04,18495.4,7331.73,6252.81,1078.89
USA,1989,1,short,4,S008,60731.84,49.06,18.66,14.11,30.27,31.62,82.03,155.71,294.23,518.59,751.05,1038.88,1405.5,2136.82,3775.35,5842.29,8196.74,10989.4,11156.65,14244.88,8526.53,5718.58,4220.9,1497.46,1261.78,235.81
USA,1989,1,short,4,S009,23824.32,25.33,8.58,2.22,2.46,10.64,28.98,50.43,112.33,175.57,270.92,327.65,525.37,921.48,1860.14,2968.46,3724.93,4083.17,3820.92,4904.72,2694.67,2211.03,1532.3,679.01,568.21,110.89
USA,1989,1,short,4,S010,25388.74,368.07,125.43,35.04,27.73,45.63,68.75,143.6,246.88,328.79,359.09,367.23,421.97,638.19,1059.65,1709.18,2551.33,3624.97,4839.86,8427.34,4327.08,4103.05,2826.94,1276.7,1063.85,213.06
USA,1989,1,short,4,S011,66133.06,242.25,95.21,58.48,74.91,98.26,119.77,166.07,258.35,349.8,488.95,662.24,1209.51,2693.43,5291.16,8776.03,11673.58,13303.6,10509.37,10062.08,6426.4,3634.36,2717.28,916.81,796.52,120.15
USA,1989,1,short,4,S012,39999.5,246.9,72.61,23.82,31.39,45.92,108.83,294.36,855.59,1688.9,2213.84,2347.05,2698.35,3383.91,4311.74,4720.91,4693.37,4555.33,3662.68,4043.99,2438.45,1605.55,1158.79,446.79,376.63,70.19
USA,1989,1,short,4,S013,4965.65,14.92,14.38,5.82,11.27,21.72,39.32,55.11,103.85,113.39,140.09,129.04,162.42,211.76,394.4,501.85,702.23,699.42,713.6,931.05,537.77,393.36,266.99,126.44,107.82,18.62
USA,1989,1,short,4,S014,18238.66,140.77,16.96,5.03,10.95,21.2,33.68,83.26,165.9,216.29,258.16,262.91,396.23,585.13,1082.8,1710.08,2276.09,3010.34,3273.53,4689.35,2570.94,2119.36,1493.66,625.88,519.19,106.81
USA,1989,1,short,4,S015,21587.96,19003.47,538.75,162.82,120.38,156.52,140.21,167.1,134.59,156.81,92.85,101.09,112.43,133.76,106.99,124.01,103.44,106.74,59.41,66.6,50.68,15.88,11.67,4.21,3.98,0.23
USA,1989,1,short,4,S016,110024.39,743.99,2007.27,1446.56,1865.89,9590.64,12999.13,13216.04,12049.37,9882.45,7459.67,5513.11,4562.95,4396.36,4442.6,4435,4176.27,4085.7,3400.83,3750.55,2298.78,1451.63,1041.11,410.58,351.22,59.35
USA,1989,2,short,4,S000,1036275,17301.51,3185.08,1804.15,1688.12,4310.05,5020.95,7004.73,9378.81,11125.92,14475.86,18143.24,25308.35,38498.3,61963.44,89260.11,113579.92,144150.79,162418.8,307656.87,151664.8,155992.07,103020.61,52971.46,43419.23,9552.23
USA,1989,2,short,4,S001,20807.67,395.37,217.68,67.1,52.81,85.64,241.62,590.03,985.68,850.31,611.54,487.65,539.12,733.63,932.92,1346.28,1777.83,2485.38,2811.85,5595.22,2814.06,2780.93,1843.55,937.34,770.82,166.5
USA,1989,2,short,4,S002,242316.3,89.38,283.06,321.05,249.61,349.6,491.29,924.59,1957.2,3414.42,5762.2,8120.93,11760.51,17336.57,26144.44,33701.69,35922.85,35437.25,28746,31303.65,19026.83,12262.07,9039.17,3217.6,2799.56,416.67
USA,1989,2,short,4,S003,4178.43,65.86,49.12,31.4,22.73,29.72,52.9,81.41,102.88,131.58,118.86,114.22,118.14,146.96,217.27,307.2,377.53,482.25,588.53,1139.86,557.09,582.79,375.02,207.82,165.48,42.39
USA,1989,2,short,4,S004,37421.12,162.4,82.73,69.02,60.04,89.53,126.9,198.26,278.08,331.47,498.8,685.41,957.67,1601.46,2708.7,3959.4,4841.28,5714.16,5813.08,9242.73,4859.96,4381.53,2992.52,1388.45,1160.02,228.25
USA,1989,2,short,4,S005,12433.1,1.03,13.49,11.89,16.69,16.31,44.86,126.92,196.32,227.73,210.81,188.76,178.69,227.96,262.26,360.74,520.57,1000.79,2119.67,6707.6,2854.82,3854.63,2410.44,1444.95,1159.89,285.27
USA,1989,2,short,4,S006,23857.12,331.07,226.54,116.17,116.6,130.38,150.41,165.29,207.04,271.63,319.69,356.25,479.48,645.7,1024.36,1608.28,2368.47,3460.01,4323.7,7556.05,4026.81,3528,2403.15,1124.44,934.15,190.18
USA,1989,2,short,4,S007,367363.87,276.14,122.95,50.8,77.96,129.12,222.58,413.54,712.19,1104.07,1895,2946.28,4946.54,8748.54,16393.25,26420.85,37852.67,54515.88,67911.61,142623.89,67618.45,75016.49,48660.73,26360.71,21444.55,4917.55
USA,1989,2,short,4,S008,92028.69,33.38,23.25,15.72,18.12,32.54,83.1,148.53,296.3,403.47,657.96,884.3,1239.82,1824.53,3075.89,5218.86,8176.63,12919.27,18188.95,38788.07,19272.31,19515.14,13219.48,6293.8,5215.11,1078.21
USA,1989,2,short,4,S009,23837.87,11.09,5.21,2.64,5.75,12.06,22.14,35.62,51.23,86.51,125.29,168.01,264.22,446.47,813.36,1430.36,2313.71,3268.49,3984.74,10790.97,4623.97,6169.85,3700.85,2471.1,1945.67,526.12
USA,1989,2,short,4,S010,29589.95,225.84,104.98,28.16,30.17,41.64,58.29,105.81,167.1,177.48,185.74,201.66,248.74,363.86,638.18,1098.1,1677.35,3109.21,5384.61,15743.04,6575.91,9171.99,5745.95,3427.79,2747.22,681.1
USA,1989,2,short,4,S011,52570.48,158.23,80.08,39.79,43.89,78.49,102.99,151.35,211.56,248.49,360.22,568.17,1017.26,2047.45,3863.93,5943.87,8295.84,9486.01,8376.52,11496.35,6210.5,5283.62,3615.43,1667.48,1381.42,285.93
USA,1989,2,short,4,S012,36737.33,153.1,50.36,32.94,23.75,36.89,76.75,196.29,393.97,632.76,841.64,1031.9,1288.33,1839.86,2595.35,3382,4025.43,4834.24,5502.53,9799.24,4953.58,4845.16,3324.86,1519.59,1276.35,242.98
USA,1989,2,short,4,S013,9078.95,7.7,7.76,5.86,18.21,28.65,86.86,116.74,136.43,160.18,217.14,220.9,233.56,344.92,479.18,720.97,937.1,1260.82,1405.75,2690.21,1224.5,1466.13,945.06,521.2,424.01,97.21
USA,1989,2,short,4,S014,22847.2,95.21,12.16,9.39,11.22,39.99,111.99,146.54,197.73,160.73,160.7,211.2,317.24,478.53,886.97,1545.08,2064.78,3254.19,4250.72,8892.82,4332.51,4560.52,3036.48,1523.9,1264.17,259.61
USA,1989,2,short,4,S015,17037.84,14642.72,547.47,136.95,104.03,108.41,93.69,108.56,103.09,112.61,91.74,105.05,105.93,101.5,103.3,122.43,117.47,140.1,83.13,109.66,59.44,50.2,30.16,20.06,18.42,1.62
USA,1989,2,short,4,S016,44169.1,653,1358.22,865.26,836.53,3101.09,3054.58,3495.23,3381.99,2812.46,2418.54,1852.55,1613.09,1610.37,1824.07,2094.01,2310.43,2782.75,2927.4,5177.5,2654.06,2523.03,1677.75,845.22,712.41,132.64
USA,1989,3,short,4,S000,2150465,39673.25,7303.69,4318.91,4606.9,15589.06,20947.5,26966.86,33634.15,37898.81,43086.62,50880.64,67431.2,101499.52,158614.09,219133.76,262166.18,301269.61,298023.09,457421.14,241981.78,215439.37,146273.28,69166.09,57222.28,11943.81
USA,1989,3,short,4,S001,58944.42,852.84,447.54,152.07,103.48,204.79,916.99,3487.8,6163.46,6411.5,4677.22,3149.88,2408.79,2414.69,2549.37,3247.88,3896.84,4865.68,4853.36,8140.23,4302.42,3837.75,2585.64,1252.17,1024.18,228.1
USA,1989,3,short,4,S002,514619.33,174.19,620.3,694.46,590.47,827.11,1151,1987.7,3637.88,6136.02,10357.55,15889.72,24299.23,38396.3,59856.93,77208.05,82211.61,77360.9,58787.17,54432.75,34820.81,19590.35,14835.97,4747.37,4164.82,580.64
USA,1989,3,short,4,S003,8012.72,145.83,121.24,50.51,46.33,77.3,120.64,181.52,285.68,340.56,287.48,272.53,259.01,340.69,432.62,632.72,762.63,915.38,1039.8,1700.26,861.28,839.13,570.18,268.98,217.44,51.58
USA,1989,3,short,4,S004,65146.66,334.55,164.34,147.39,145.01,178.86,263.77,461.13,680.51,871.54,1242.06,1642.58,2119.63,3381.47,5299.38,7480.15,8853.13,9843.59,9169.12,12868.45,7076.9,5790.2,4030.83,1758.77,1468.6,290.04
USA,1989,3,short,4,S005,24138.94,4.19,33.29,29.1,33.77,62.6,145.98,374.42,762.9,1033.5,885.49,835.54,802.92,873.83,970.25,1094.26,1318.88,2013.24,3617.98,9246.81,4233.5,5015.73,3231.57,1785.01,1446.79,338.46
USA,1989,3,short,4,S006,45410.95,755.22,556.45,243.85,267.92,409.93,438.87,466.52,574.24,675.25,789.05,819.04,1039.23,1460.49,2312.95,3577.57,5067.22,7123.19,7810.58,11023.37,6336.08,4685.24,3297.3,1387.33,1169.12,218.01
