country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
USA,1979,2,short,4,S007,340174.44,211.69,129.22,55.78,75.8,138.85,281.97,379.65,599.83,1015.63,1847.55,3431.93,6739.77,11782.94,19112.14,29011.82,41420.74,54123.39,63269.44,106546.31,58336.61,48215.15,34556.03,13660.85,11461.07,2201.17
USA,1979,2,short,4,S008,100298.97,61.83,17,18,25.07,54.96,121.12,168.86,279.27,415.85,669.96,1119.47,1749.56,2670.88,3976.92,6559.38,10609.94,15622.26,20429.35,35729.3,20004.74,15724.63,11462.21,4261.76,3664.8,596.09
USA,1979,2,short,4,S009,26296.66,15.01,6.17,3.26,4.24,19.54,32.92,49.42,51.27,73.02,130.58,202.84,322.52,569.43,917.79,1596.82,2314.53,3446.52,4897.12,11643.65,5612.4,6034.88,4042.98,1993.92,1618.96,375.94
USA,1979,2,short,4,S010,15773.92,440.98,149.05,51.74,45.19,58.54,69.85,84.55,87.23,104.66,131.76,173.58,249.52,372.54,525.69,734.05,1112.12,1798.95,2954.94,6628.96,3269.74,3360.99,2276.25,1085.71,886.11,200.08
USA,1979,2,short,4,S011,23357.38,228.82,100.38,39.91,32.95,82.47,94.02,110.95,109.32,191.73,255.9,416.87,876.57,1460.55,2420.51,3108.41,3582.48,3594.19,2905.77,3745.59,2257.01,1487.96,1055.06,433.02,368.19,64.8
USA,1979,2,short,4,S012,32160.96,209.9,57.91,26.78,32.4,66.94,128.02,265.54,419.23,677.42,1023.68,1450.34,2211.46,2651.12,2788.07,3265.76,3521.25,3688.92,3818.53,5857.7,3516.53,2340.23,1762.64,577.13,499.22,77.75
USA,1979,2,short,4,S013,6127.09,15.05,8.53,11.22,21.1,54.66,94.64,122.52,129.1,120.54,124.47,161.3,263.07,350.45,438.24,578.58,720.94,821.92,835.69,1255.06,717.8,537.19,376.64,160.62,142.34,18.19
USA,1979,2,short,4,S014,14444.24,128.33,14.05,8.12,20.13,69.94,144.56,156.92,176.65,176.43,163.47,232.17,349.79,500.68,778.91,1205.71,1625.04,2172.16,2440.01,4081.18,2372.06,1708.78,1252.99,455.67,397.63,57.87
USA,1979,2,short,4,S015,18927.71,16651.51,498.89,143.98,137.59,118.46,95.63,103.27,82.25,100.92,86.35,102.01,123.55,153.19,107.3,100.8,90.44,87.52,65.27,78.78,52.22,26.53,19.85,6.68,4.67,2.02
USA,1979,2,short,4,S016,44864.9,608.49,1611.41,1010.71,1019.81,3984.27,4310.44,3417.94,2679.2,2332.06,2037.96,2089.79,2208.76,2200.1,2082.43,2088.35,2254.92,2434.76,2553.36,3940.15,2257.09,1682.87,1234.12,448.64,391.07,57.4
USA,1979,3,short,4,S000,1913840,45696.02,8118.99,5285.52,5876.1,21113.33,27673.63,24848.39,23154.57,25126.95,32642.79,50805.39,84519.24,123661.88,163388.71,209058.36,240301.77,251875.37,241903,328789.96,192768.88,136021.08,100387.74,35633.34,30385.13,5248.21
USA,1979,3,short,4,S001,18902.56,818.39,371.04,122.83,110.35,191.28,220.11,253.69,285.17,319.64,377.63,589.52,864.44,1262.67,1506.01,1961.24,2227.25,2396.09,2122.34,2902.86,1739.34,1163.39,853.43,310.01,264.34,45.66
USA,1979,3,short,4,S002,418873.29,173.96,674.6,853.09,823.34,1230.88,1565.78,2080.55,3100.98,4727.33,8024.8,15050.1,27975.73,41647.27,53206.56,63509.1,63310.34,54589.65,40899.46,35429.78,24310.59,11107.35,9020.92,2081.7,1891.85,188.46
USA,1979,3,short,4,S003,5910.01,159.48,139.98,52.21,70.41,101.26,146.12,140.79,149.96,153.75,150.1,175.7,253.52,382.06,399.32,505.9,620.01,647.46,710.34,951.64,562.07,389.55,291.72,97.81,88.58,9.16
USA,1979,3,short,4,S004,45956.14,400.54,191.63,161.68,182.16,229.01,316.47,392.32,473.59,602.99,754.84,1129.95,1878.18,3032.55,4159.42,5455.36,6435.59,6790.15,6169.12,7200.61,4451.52,2748.08,2089.54,658.13,556.68,101.45
USA,1979,3,short,4,S005,14836.36,12.99,40.44,45.62,34.13,121.15,256.19,441.4,492.27,502.44,633.26,712.51,917.78,952.67,916.14,921.8,1044.43,1318.54,2005.6,3467,1884.91,1582.61,1151.17,431.54,365.7,65.83
USA,1979,3,short,4,S006,23705.51,1016.32,660.65,350.86,325.28,518.23,544.91,515.75,549.67,546.81,616.08,753.34,1167.81,1593.01,2012.5,2514.16,2777.67,2865.39,2171.07,2205.99,1427.28,778.28,579.81,198.44,169.27,29.15
USA,1979,3,short,4,S007,738441.02,516.54,261.09,109.83,159.1,369.38,726.4,1107.74,1967.36,3864.86,7612.4,14885.37,27658.18,44544.79,62734.71,83400.86,101319.93,111796.43,112261.86,163144.18,93246.75,69905.47,51144.4,18763.56,15869.69,2895.49
USA,1979,3,short,4,S008,172543.63,136.49,41.96,43.81,58.88,114.8,254.05,365.58,559.32,860.11,1373.65,2269.59,3759.51,5844.89,8945.81,14111.23,21324.54,28223.79,33155.66,51099.99,29627.29,21473.04,15939.87,5532.26,4786.12,745.15
USA,1979,3,short,4,S009,53256.19,34.67,12.42,5.07,11.72,50.78,72.21,118.85,146.02,212.51,336.19,567.76,1048.76,1858.31,3087.21,4885.74,6446.97,7743.83,9098.35,17518.82,8922.48,8601.19,5887.86,2716.09,2236.47,480.69
USA,1979,3,short,4,S010,33181.09,1015.14,335.38,117.61,91.88,130.4,156.99,209.85,238.55,301.16,349.73,474.17,768.82,1103.52,1457.79,2117.74,2997.34,4070.79,5959.54,11284.7,5950.03,5337.23,3736.05,1602.5,1322.97,280.1
USA,1979,3,short,4,S011,71584.29,515.14,208.42,77.55,84.3,170.77,226.3,261.82,272.12,399.45,600.32,1102.25,2324.06,4265.44,7455.88,10679.73,12793.97,12123.49,9250.43,8772.86,5714.4,3056.99,2291.92,765.04,667.16,97.78
USA,1979,3,short,4,S012,72180.39,513.22,127.73,49.04,63,124.1,302.25,723.23,1268.29,2007.21,2974.12,4255.12,6219.58,7271.08,7627.77,8272.11,7821.22,7240.28,6542.75,8778.3,5406.27,3370.96,2565,805.46,702.2,103.07
USA,1979,3,short,4,S013,9734.91,34.92,24.01,19.7,33.14,78.92,122.53,153.99,183.68,169.45,185.61,266.29,449.64,591.3,790.95,1053.33,1199.77,1351.53,1247.69,1778.45,1039.15,739.27,531.38,207.96,186.53,21.32
USA,1979,3,short,4,S014,29273.72,297.26,38.27,26.64,41.11,108.26,205.86,257.68,292.82,303.39,350.7,480.38,772.19,1142.62,1772.58,2723.53,3598.57,4591.1,4946.56,7324.2,4333.58,2990.54,2243.31,747.1,656.04,90.85
USA,1979,3,short,4,S015,43499.67,38651.58,1091.29,303.67,294.51,329.61,276.25,244.22,191.28,214.48,170.72,209.83,246.49,272.42,209.68,206.49,197.41,160.03,108.88,120.83,74.55,46.26,35.2,11.06,7.17,3.91
USA,1979,3,short,4,S016,161961.23,1399.38,3900.09,2946.31,3492.79,17244.5,22281.21,17580.94,12983.5,9941.36,8132.62,7883.53,8214.57,7897.3,7106.36,6740.05,6186.77,5966.82,5253.36,6809.76,4078.65,2730.89,2026.17,704.69,614.37,90.14
USA,1980,1,short,4,S000,1075078,25808.69,4767.67,2992.86,3575.68,15226.3,21724.94,19062.59,17023.7,16837.56,20804.48,31485.58,53024.24,80101.66,104215.57,132491.74,144945.46,138240.14,114583.88,128165.26,80127.95,48037.31,36622.18,11415.13,9862.66,1552.47
USA,1980,1,short,4,S001,11029.99,441.47,223.38,73.05,49.91,92.28,110.81,140.58,142.22,206.56,212.46,330.4,565.16,841,975.5,1278.46,1440.96,1327.72,1178.34,1399.74,853.52,546.28,410.71,135.6,113.35,22.31
USA,1980,1,short,4,S002,234445.54,108.74,394.61,500.61,454.52,730.63,1058.58,1188.02,1482.84,2127.07,3706.16,7197.09,14318.88,23450.21,31098.54,38139.77,38117.27,31801.77,21557.93,17012.3,11965.23,5043.35,4149.98,891.82,797.41,94.03
USA,1980,1,short,4,S003,2816.05,84.53,79.19,38.83,23.13,47.67,73.87,65.12,87.41,72.26,69.81,76.29,134.03,156.98,211.54,270.65,312.21,330.8,316.76,364.96,229.99,134.97,98.13,36.86,29.87,7.02
USA,1980,1,short,4,S004,20706.78,220.94,98.57,96.65,88.83,82.79,136.51,200.69,295.13,345.73,404.96,589.22,1023.47,1619.5,2061.22,2708.28,2987.53,2917.48,2339.99,2489.29,1575.43,913.81,679.66,234.23,197.2,37.1
USA,1980,1,short,4,S005,9171.17,9.61,28.13,10.3,22.14,69.18,199.83,381.48,397.96,445.79,425.29,596.07,709.67,741.28,682.07,690.55,692.65,729.45,950.37,1389.35,827.42,562.04,431.82,130.2,112.26,17.95
USA,1980,1,short,4,S006,13488.28,561.24,427.92,175.43,196.75,376.53,390.2,293.14,315.24,337.43,318.43,402.46,676.32,930.72,1168.51,1476.1,1728.51,1583.29,1166.08,963.98,643.92,319.94,251.72,68.18,59.71,8.46
USA,1980,1,short,4,S007,407086.78,322.24,169.49,59.03,93.7,282.69,469.98,714.99,1388,2900.8,5741.13,10856.69,20287.75,32689.85,43134.34,55361.49,61468.65,59595.34,50990.94,60559.68,37067.46,23494.44,17832.98,5661.86,4890.7,771.17
USA,1980,1,short,4,S008,72093.84,78.57,28.76,22.32,25.43,72.35,156.71,186.19,286.07,405.32,676.55,1053.53,1960.64,2989.72,4806.86,7458.39,10592.71,12805.53,12823.14,15665.05,9680.23,5985.14,4544.23,1441.01,1246.92,194.06
USA,1980,1,short,4,S009,27306.98,18.89,2.94,4.78,5.17,17.6,45.28,61.12,95.93,137.67,205.29,358.91,704.66,1328.14,2240.49,3308.69,4148.7,4388.09,4218.52,6016.11,3424.75,2592.29,1862.56,730.31,613.85,116.71
USA,1980,1,short,4,S010,20335.81,531.81,166.08,51.16,41.95,58.29,94.54,135.73,145.28,211.44,252.16,361.17,527.08,799.93,1085.39,1595.46,2131.43,2743.27,3567.65,5836,3259.07,2578.02,1892.21,686.19,579.97,106.4
USA,1980,1,short,4,S011,52781.06,300.65,108.33,36.88,64.46,102.56,146.35,168.81,197.55,195.55,338.51,693.21,1481.87,2961.13,5306.52,8223.85,9998.87,9589.48,6856.5,6010,4138.8,1870.13,1483.72,386.11,341.31,44.69
USA,1980,1,short,4,S012,41517.22,291.45,68.93,27.49,39.23,80.71,164.76,435.59,888.15,1340.49,1904.78,2734.91,4010.2,4783.05,5071.7,5210.24,4641.62,3758.18,2847.99,3217.74,2021.98,1195.73,902.52,293.26,269.13,23.91
USA,1980,1,short,4,S013,3765.72,18.25,14.87,6.19,13.89,26.32,27.57,37.5,49.29,43.64,79.09,106.98,157.85,239.39,373.43,491.29,562.05,513.99,445.88,558.24,345.05,213.2,158.65,54.58,45.86,8.73
USA,1980,1,short,4,S014,15318.72,167.03,17.29,5.34,14.41,22.26,50.55,87.93,119.87,141.76,174.95,274.67,386.42,649.07,1016.12,1572.22,2059.75,2482.2,2506.12,3570.75,2114.53,1456.54,1084.87,371.8,320.22,51.59
USA,1980,1,short,4,S015,24522.41,21802.81,608.21,177.05,133.02,178.13,179.21,148.92,148.89,118.36,89.76,114.63,134.97,157.49,125.78,121.65,104.9,84.7,62.81,31.12,17.65,13.48,10.83,2.64,2.51,0.13
USA,1980,1,short,4,S016,118691.65,850.46,2330.96,1707.76,2309.15,12986.33,18420.2,14816.77,10983.87,7807.68,6205.14,5739.34,5945.27,5764.18,4857.56,4584.64,3957.67,3588.86,2754.85,3080.95,1962.9,1117.95,827.6,290.47,242.37,48.22
USA,1980,2,short,4,S000,914763,19729.13,3427.91,2086.85,2043.99,5529.87,6603.96,6700.47,7509.44,8837.94,11975.61,18322.19,30372.75,45948.52,61987.62,83830.8,105448.54,125422.7,139110.98,229873.74,125865.06,104008.69,74870.46,29138.22,24469.29,4668.93
USA,1980,2,short,4,S001,10175.47,318.7,155.14,61.37,41.35,92.12,118.49,128.59,133.91,143.34,174.64,214.71,376.07,546.57,650.79,891.6,1115.06,1338.04,1412.44,2262.53,1284.19,978.16,721.18,256.87,205.37,51.68
USA,1980,2,short,4,S002,198644.66,81.9,264.99,349.49,337.34,508.7,608.23,1028.35,1787.78,2818.31,4463.67,7624.38,13330.46,19407.01,23605.17,27353.11,28122.91,25292.24,20690.79,20969.82,13774.56,7186.7,5606.62,1577.14,1405.83,169.86
USA,1980,2,short,4,S003,3207.99,56.64,49.66,27.93,26.6,31.86,68.43,73.89,76.82,73.37,72.1,99.63,130.94,151.65,198.45,264,328.62,394.07,430.72,652.6,375.49,277.04,195.35,81.72,68.06,13.67
USA,1980,2,short,4,S004,28093.71,176.36,104.54,116.99,85.56,132.36,128.18,211.74,223.36,270.96,359.04,559.56,956.83,1572.09,2274.15,3174.82,3931.5,4269.9,4061.65,5484.15,3293.87,2189.19,1627.81,561.03,476.41,84.53
USA,1980,2,short,4,S005,7319.26,3.58,15.67,18.92,19.22,23.76,76.68,113.93,137.93,153.25,166.85,204.07,269.45,254.03,250.27,318.81,476.97,712.42,1281.32,2822.14,1450.72,1371.78,950.62,421.4,346.88,74.65
USA,1980,2,short,4,S006,11764.45,448.61,315.17,149.31,160.15,151.79,193.49,185.85,216.95,235.43,260.71,336.13,506.27,721.18,956.96,1167.91,1312.91,1512.69,1325.26,1607.7,936.49,671,497.43,173.48,145.31,28.17
USA,1980,2,short,4,S007,358700.54,258.58,145.15,72.52,78.32,174.8,264.96,406.24,601.86,969.58,1867.01,3416.88,6666.58,12099.19,19447.16,30464.56,43058.52,56251.25,66292.34,116165.03,62177.49,53992.88,38566.59,15428.32,12935.11,2493.58
