"","Pop","Year","Sex","Cause","Age","Count"
"114","USA",2000,1,"S002",2,67.91756344285
"115","USA",2000,1,"S002",3,67.0702325072268
"116","USA",2000,1,"S002",4,66.3790949521454
"117","USA",2000,1,"S002",5,65.8873213717442
"118","USA",2000,1,"S002",6,65.6519718507616
"119","USA",2000,1,"S002",7,65.7220322836846
"120","USA",2000,1,"S002",8,66.1376160756128
"121","USA",2000,1,"S002",9,66.9414901523823
"122","USA",2000,1,"S002",10,68.16274325943
"123","USA",2000,1,"S002",11,69.839117388476
"124","USA",2000,1,"S002",12,71.9842749438239
"125","USA",2000,1,"S002",13,74.6176141422874
"126","USA",2000,1,"S002",14,77.7264804335923
"127","USA",2000,1,"S002",15,81.286517139591
"128","USA",2000,1,"S002",16,85.2646223104207
"129","USA",2000,1,"S002",17,89.5946790105476
"130","USA",2000,1,"S002",18,94.2575260184403
"131","USA",2000,1,"S002",19,99.2057979004338
"132","USA",2000,1,"S002",20,104.449786273863
"133","USA",2000,1,"S002",21,109.995325902593
"134","USA",2000,1,"S002",22,115.909420566172
"135","USA",2000,1,"S002",23,122.302638659348
"136","USA",2000,1,"S002",24,129.340616542252
"137","USA",2000,1,"S002",25,137.316802279201
"138","USA",2000,1,"S002",26,146.512691389789
"139","USA",2000,1,"S002",27,157.418496945229
"140","USA",2000,1,"S002",28,170.427814116928
"141","USA",2000,1,"S002",29,186.142919434796
"142","USA",2000,1,"S002",30,205.126147149028
"143","USA",2000,1,"S002",31,228.104680431016
"144","USA",2000,1,"S002",32,255.89183795915
"145","USA",2000,1,"S002",33,289.385770811779
"146","USA",2000,1,"S002",34,329.681807669104
"147","USA",2000,1,"S002",35,377.728270123074
"148","USA",2000,1,"S002",36,434.847953341656
"149","USA",2000,1,"S002",37,501.87317549879
"150","USA",2000,1,"S002",38,580.23687898218
"151","USA",2000,1,"S002",39,670.693060172262
"152","USA",2000,1,"S002",40,774.616106837086
"153","USA",2000,1,"S002",41,892.555778765715
"154","USA",2000,1,"S002",42,1025.58481707807
"155","USA",2000,1,"S002",43,1173.76792593316
"156","USA",2000,1,"S002",44,1337.60753194364
"157","USA",2000,1,"S002",45,1516.55163588346
